iter	Passed	Remaining
0	189	189626
1	214	106900
2	235	78393
3	259	64694
4	281	55936
5	304	50432
6	328	46537
7	349	43294
8	372	40969
9	395	39132
10	420	37768
11	441	36360
12	470	35689
13	493	34738
14	516	33899
15	538	33145
16	562	32544
17	584	31861
18	609	31474
19	632	31006
20	640	29862
21	662	29429
22	684	29072
23	707	28755
24	728	28416
25	751	28163
26	772	27854
27	795	27615
28	817	27375
29	838	27110
30	861	26938
31	869	26296
32	892	26142
33	914	25984
34	921	25394
35	943	25260
36	965	25136
37	978	24776
38	1001	24672
39	1022	24531
40	1044	24437
41	1054	24061
42	1077	23983
43	1098	23867
44	1121	23796
45	1142	23684
46	1164	23607
47	1185	23508
48	1208	23455
49	1231	23392
50	1252	23306
51	1275	23249
52	1297	23184
53	1310	22955
54	1333	22915
55	1356	22870
56	1379	22827
57	1400	22749
58	1423	22700
59	1444	22626
60	1467	22583
61	1485	22471
62	1506	22406
63	1517	22197
64	1539	22151
65	1563	22128
66	1591	22160
67	1615	22145
68	1640	22131
69	1662	22085
70	1684	22046
71	1708	22019
72	1731	21986
73	1746	21849
74	1767	21800
75	1790	21765
76	1813	21735
77	1834	21687
78	1857	21653
79	1879	21619
80	1902	21583
81	1924	21546
82	1945	21493
83	1984	21639
84	2006	21597
85	2029	21571
86	2051	21526
87	2073	21492
88	2094	21444
89	2117	21413
90	2139	21368
91	2161	21336
92	2169	21158
93	2173	20947
94	2195	20910
95	2218	20887
96	2239	20846
97	2262	20820
98	2284	20794
99	2307	20767
100	2330	20739
101	2337	20579
102	2358	20543
103	2381	20517
104	2394	20410
105	2416	20384
106	2439	20358
107	2460	20318
108	2482	20296
109	2503	20258
110	2527	20240
111	2548	20203
112	2573	20199
113	2598	20195
114	2626	20212
115	2647	20176
116	2670	20151
117	2690	20113
118	2714	20093
119	2736	20069
120	2757	20034
121	2781	20015
122	2804	19993
123	2849	20130
124	2856	19995
125	2878	19969
126	2904	19962
127	2926	19936
128	2939	19848
129	2962	19826
130	2984	19799
131	2989	19656
132	3010	19626
133	3033	19603
134	3055	19576
135	3078	19559
136	3091	19476
137	3115	19462
138	3137	19434
139	3160	19413
140	3174	19338
141	3197	19319
142	3220	19302
143	3244	19283
144	3267	19266
145	3290	19247
146	3311	19217
